original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
352,20180904-135050_839_live,0,Hey there! ,Conversation Management,Greeting / Rapport,Greeting / Rapport
354,20180904-135050_839_live,1,"I am well, and yourself?",Conversation Management,Greeting / Rapport,Greeting / Rapport
356,20180904-135050_839_live,2,So have you ever heard of the charity Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
358,20180904-135050_839_live,3,"It is a charity that is dedicated to 'saving the children' through the use of all sorts of programs ranging from healthcare to education to safety. Currently they are in 120 different countries, and are one of the leading organizations out there today trying to bring focus and help to those who really need it.",Rational / Impact Appeal,Rational Appeal,
360,20180904-135050_839_live,4,Are there any issues when it comes to helping others that are particularly personal/important to you?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
362,20180904-135050_839_live,5,"I do too. One of the things that I worry about though, is does my money really go towards the cause...",Conversation Management,Greeting / Rapport,Credibility Appeal
364,20180904-135050_839_live,6,"There has been a lot of negative press the last few years with some charities where it has been exposed that they aren't using the funds for the cause to their maximum potential. But I did my research with Save the Children, and almost all of the money donated goes right towards the cause. Very minimal funds go towards the actual organization and administration efforts.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
366,20180904-135050_839_live,7,I do agree! Would you be willing to donate anything today towards this cause? .77 cents a day can actually put a refugee family in a home for a day...even just a little can go a long way!,Call to Action,Call to Action,Rational Appeal
368,20180904-135050_839_live,8,"Thank you! That 77 cents makes a big difference, and hopefully we can convince others to keep the positive energy moving forward for causes like this!",Call to Action,Call to Action,
370,20180904-135050_839_live,9,Are there any other questions you have about the charity that I can answeR?,Conversation Management,Charity Awareness Probe,Non-persuasive Other
372,20180904-135050_839_live,10,"Okay, thank you for your time!!",Conversation Management,Conversation Closing,Conversation Closing
373,20180904-055231_835_live,0,hello,Conversation Management,Greeting / Rapport,Greeting / Rapport
375,20180904-055231_835_live,1,how are you doing today,Conversation Management,Greeting / Rapport,Greeting / Rapport
377,20180904-055231_835_live,2,good would just be better if it wasn't so rainy,Conversation Management,Greeting / Rapport,Non-persuasive Other
379,20180904-055231_835_live,3,how much do you want to donate to save the children,Call to Action,Call to Action,Call to Action
381,20180904-055231_835_live,4,I agree that you donating $2 would be a good idea,Call to Action,Call to Action,Unity
383,20180904-055231_835_live,5,that is very true so if we both donated $2 then more children could be helped,Social Influence,Unity,Reciprocity
385,20180904-055231_835_live,6,Yes well helping poor defenseless children is an easy thing to do,Emotional Influence,Empathy Appeal,Moral Appeal
387,20180904-055231_835_live,7,that is very true but the chatting about get's more people hearing about the save the children,Rational / Impact Appeal,Rational Appeal,Rational Appeal
389,20180904-055231_835_live,8,that would be really good because every little bit helps,Rational / Impact Appeal,Rational Appeal,Rational Appeal
391,20180904-055231_835_live,9,Yep I'm willing to donate $2 if you are,Call to Action,Call to Action,Reciprocity
393,20180904-102547_933_live,0,Hello!,Conversation Management,Greeting / Rapport,Greeting / Rapport
395,20180904-102547_933_live,1,how are things going for you/,Conversation Management,Greeting / Rapport,Greeting / Rapport
397,20180904-102547_933_live,2,Yes we are.  how do you feel about it?,Conversation Management,Permission / Time Check,Non-persuasive Other
399,20180904-102547_933_live,3,"The charity is Save The Children.  It promotes  children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
401,20180904-102547_933_live,4,Excellent! I thought so as well!,Conversation Management,Acknowledgement,Acknowledgement
403,20180904-102547_933_live,5,"That's what I was thinking as well.  If we donate half, we still got something in return.",Exchange / Incentives,Reciprocity,
405,20180904-102547_933_live,6,Excellent.  I will donate half and do will do the same then?  that's 1 dollar each for donation.,Call to Action,Call to Action,Framing
407,20180904-102547_933_live,7,"I have donated there in the past, and I know the good work that they do here and abroad.",Authority / Expertise,Credibility Appeal,Credibility Appeal
409,20180904-102547_933_live,8,"That's really awesome!  With what they accomplish with a little money, I feel we will make a small difference.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
411,20180904-102547_933_live,9,Agreed.  Thank you for helping me make a donation today!!,Call to Action,Call to Action,Acknowledgement
413,20180904-102547_933_live,10,"Excellent! We can finish now.  So, a dollar from you and me is a deal?",Call to Action,Call to Action,Reciprocity
415,20180904-053728_415_live,0,Save the Children is a very important charity and they desperately need your help in order to help as many children as possible.,Authority / Expertise,Credibility Appeal,Moral Appeal
417,20180904-053728_415_live,1,that's great! what made you decide?,Conversation Management,Qualification / Segmentation,Charity Awareness Probe
419,20180904-053728_415_live,2,As do I.  I think Save the Children can really do some good!,Appeal to Values,Appeal to Values,Appeal to Values
421,20180904-053728_415_live,3,How much do you like to donate to the chartiy now?,Call to Action,Call to Action,Commitment and Consistency
423,20180904-053728_415_live,4,I want you to know that your donation will be directly deducted from your task payment.,Conversation Management,Logistics / Coordination,Framing
425,20180904-053728_415_live,5,"Well, you can donate any amount from 0 to 2 dollars.",Call to Action,Call to Action,Framing
427,20180904-053728_415_live,6,"Remember, we are helping children here.  Is it possible for you do donate more?",Norms / Morality / Values,Moral Appeal,Appeal to Values
429,20180904-053728_415_live,7,All of those children are depending on each of us to do our best.  Really dig deep and think before making your decision.,Norms / Morality / Values,Moral Appeal,Appeal to Values
431,20180904-053728_415_live,8,All right. What is your final donation amount?,Call to Action,Call to Action,Call to Action
433,20180904-053728_415_live,9,okay.  I think that's good!,Conversation Management,Acknowledgement,Acknowledgement
435,20180904-030739_178_live,0,Do you ever donate to charity?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
437,20180904-030739_178_live,1,Have you ever heard of Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
